position,company,jd,workplace,education,salary
后端工程师,小红书,"Node.js, Express, MongoDB",江苏,本科,24000
后端工程师,小红书,"Go, Gin, SQL",四川,本科,23000
NLP算法工程师,小红书,"NLTK, SpaCy, Python",福建,硕士,28000
NLP算法工程师,小红书,"BERT, Hugging Face, Python",湖北,博士,32000
后端工程师,小红书,"C#, .NET Core, SQL Server",云南,本科,21000
NLP算法工程师,小红书,"Keras, Python, Deep Learning",陕西,硕士,29000
后端工程师,百度,"Java,Python,MySQL,Spring,Redis",北京,本科,20000
NLP算法工程师,百度,"Python,NLP,ML,Deep Learning,Pytorch",上海,硕士,30000
后端工程师,百度,"Java,Python,MySQL,J2EE",广东,本科,18000
NLP算法工程师,百度,"Python,NLP,Deep Learning,TensorFlow",江苏,博士,40000
后端工程师,百度,"Java,Python,Django,MySQL",四川,硕士,25000
NLP算法工程师,百度,"Python,NLP,ML,Keras,Pytorch",湖北,硕士,35000
后端工程师,百度,"Java,Spring Boot,MySQL,Mongodb",浙江,本科,22000
NLP算法工程师,百度,"Python,NLP,ML,Deep Learning,CUDA,Pytorch",湖南,博士,42000
后端工程师,百度,"Java,Python,MySQL,AWS",陕西,硕士,24000
NLP算法工程师,百度,"Python,NLP,Deep Learning,Scikit-Learn",福建,硕士,32000
后端工程师,小红书,"Java,Python,MySQL",北京,本科,20000
后端工程师,小红书,"Java,Python,Redis",上海,硕士,25000
后端工程师,小红书,"Java,Spring,MySQL",广东,博士,30000
后端工程师,小红书,"Java,Python,Golang",浙江,本科,22000
后端工程师,小红书,"Java,Python,MySQL",江苏,高中及以下,18000
NLP算法工程师,小红书,"pytorch,python,ACL",北京,硕士,30000
NLP算法工程师,小红书,"pytorch,python,CUDA",广东,博士,40000
NLP算法工程师,小红书,"tensorflow,python,NLP",上海,本科,25000
NLP算法工程师,小红书,"tensorflow,python,ML,NLP",浙江,硕士,32000
NLP算法工程师,小红书,"pytorch,python,CNN",江苏,高中及以下,23000
后端工程师,阿里,"Java,MySQL,Springboot",北京,本科,18000
NLP算法工程师,阿里,"Python,PyTorch,NLP",北京,硕士,25000
后端工程师,阿里,"Java,MySQL,Redis",上海,本科,20000
NLP算法工程师,阿里,"Python,Speech Recognition,NLP",上海,硕士,27000
后端工程师,阿里,"Java,PostgreSQL,Springcloud",广东,本科,19000
NLP算法工程师,阿里,"Python,Information Retrieval,NLP",广东,硕士,26000
后端工程师,阿里,"Java,NoSQL,Spring MVC",湖北,本科,18500
NLP算法工程师,阿里,"Python,Deep Learning,NLP",湖北,硕士,24000
后端工程师,阿里,"Java,SQL,Microservices",四川,本科,18000
NLP算法工程师,阿里,"Python,Machine Learning,NLP",四川,硕士,25000
后端工程师,美团,"java,python,node.js",北京,本科,15000
后端工程师,美团,"java,python,node.js",上海,本科,16000
后端工程师,美团,"java,python,node.js",广东,硕士,18000
后端工程师,美团,"java,python,node.js",四川,硕士,17000
后端工程师,美团,"java,python,node.js",浙江,博士,20000
NLP算法工程师,美团,"pytorch,python,ACL",北京,硕士,25000
NLP算法工程师,美团,"pytorch,python,CUDA",上海,硕士,26000
NLP算法工程师,美团,"pytorch,python,ACL",广东,博士,30000
NLP算法工程师,美团,"pytorch,python,CUDA",四川,博士,28000
NLP算法工程师,美团,"pytorch,python,ACL",浙江,博士,32000
后端工程师,字节,"Java,Python,数据库",北京,本科,20000
NLP算法工程师,字节,"torch,python,NLU",北京,博士,50000
后端工程师,字节,"Java,Python,Redis",广东,本科,23000
NLP算法工程师,字节,"torch,python,机器学习",广东,硕士,45000
后端工程师,字节,"Go,Python,数据库",浙江,本科,22000
NLP算法工程师,字节,"tensorflow,python,自然语言处理",浙江,硕士,47000
后端工程师,字节,"Java,Python,SQL",福建,本科,22000
NLP算法工程师,字节,"pytorch,python,自然语言理解",福建,博士,50000
后端工程师,字节,"Go,Python,MySQL",上海,本科,21000
NLP算法工程师,字节,"pytorch,python,语义理解",上海,硕士,46000
后端工程师,百度,"C++,Java,MySQL",北京,本科,25000
后端工程师,百度,"Python,Node.js,Django",上海,硕士,28000
后端工程师,百度,"Go,Java,Redis",广东,博士,32000
后端工程师,百度,"C++,Java,Oracle",浙江,高中及以下,20000
后端工程师,百度,"Ruby,Rails,RESTful API",福建,硕士,27000
NLP算法工程师,百度,"pytorch,python,ACL",浙江,硕士,30000
NLP算法工程师,百度,"pytorch,python,CUDA",广东,博士,40000
NLP算法工程师,百度,"tensorflow,keras,scala",四川,本科,25000
NLP算法工程师,百度,"BERT,OpenCV,Spark",江苏,硕士,35000
NLP算法工程师,百度,"NLP,Java,deep learning",河南,高中及以下,18000
后端工程师,腾讯,"Java,Spring MVC,数据库",北京,本科,15000
NLP算法工程师,腾讯,"python,numpy,pandas",上海,博士,40000
后端工程师,腾讯,"Java,数据结构,分类算法",广东,硕士,20000
NLP算法工程师,腾讯,"python,深度学习,文本分类",浙江,博士,45000
后端工程师,腾讯,"Java,爬虫,数据库",江苏,本科,18000
NLP算法工程师,腾讯,"python,深度学习,图像处理",福建,博士,42000
后端工程师,腾讯,"Java,线程池,数据库",四川,硕士,17000
NLP算法工程师,腾讯,"python,深度学习,自然语言处理",湖北,博士,43000
后端工程师,腾讯,"Java,微服务,数据库",黑龙江,本科,16000
NLP算法工程师,腾讯,"python,深度学习,机器学习",湖南,博士,41000
后端工程师,小红书,"Java,Spring,MySQL",北京,本科,15000
NLP算法工程师,小红书,"Tensorflow,python,CUDA",上海,硕士,25000
后端工程师,小红书,"Go,Spring,Cassandra",广东,本科,17000
NLP算法工程师,小红书,"pytorch,python,NLP",浙江,博士,30000
后端工程师,小红书,"Java,Spring,Redis",天津,高中及以下,10000
NLP算法工程师,小红书,"Tensorflow,keras,ACL",上海,硕士,28000
后端工程师,小红书,"PHP,Laravel,MongoDB",福建,本科,14000
NLP算法工程师,小红书,"R,Machine learning,CUDA",广东,博士,32000
后端工程师,小红书,"nodejs,Express,MongoDB",单江,高中及以下,9000
NLP算法工程师,小红书,"pytorch,python,Machine learning",河南,硕士,26000
后端工程师,百度,"Java,Python,MySQL",北京,本科,15000
后端工程师,百度,"Java,Python,MySQL",广东,硕士,18000
NLP算法工程师,百度,"pytorch,python,ACL",上海,硕士,30000
NLP算法工程师,百度,"tensorflow,python,ACL",浙江,博士,40000
后端工程师,百度,"Java,Go,Redis",江苏,本科,16000
NLP算法工程师,百度,"pytorch,tensorflow,ACL",四川,硕士,32000
后端工程师,百度,"Python,Django,MySQL",湖南,本科,14000
NLP算法工程师,百度,"pytorch,keras,ACL",福建,博士,38000
后端工程师,百度,"Java,SpringBoot,MySQL",山东,硕士,17000
NLP算法工程师,百度,"pytorch,python,CUDA",广西,博士,42000
后端工程师,美团,"Java,Python,Django",北京,本科,15000
NLP算法工程师,美团,"Python,Statistical Modeling,AllenNLP",上海,硕士,25000
后端工程师,美团,"J2EE,Spring Boot,Python",浙江,本科,16000
NLP算法工程师,美团,"TensorFlow,Keras,NLTK",广东,博士,30000
后端工程师,美团,"GO,MySQL,Docker",四川,本科,17000
NLP算法工程师,美团,"Gensim,PyTorch,C++",江苏,硕士,28000
后端工程师,美团,"Node.js,NoSQL,RESTful",重庆,本科,20000
NLP算法工程师,美团,"Machine Learning,Deep Learning,Python",北京,博士,35000
后端工程师,美团,"Python,Express.js,Linux",上海,本科,18000
NLP算法工程师,美团,"Scala,Hadoop,Spark",广东,硕士,27000
后端工程师,字节,"java,mysql,spring",北京,本科,15000
NLP算法工程师,字节,"pytorch,python,ACL",上海,本科,18000
NLP算法工程师,字节,"pytorch,python,CUDA",广东,硕士,25000
后端工程师,字节,"java,mysql,spring",福建,本科,16000
NLP算法工程师,字节,"pytorch,python,ACL",湖南,硕士,24000
NLP算法工程师,字节,"pytorch,python,CUDA",辽宁,博士,32000
后端工程师,字节,"java,mysql,spring",江苏,高中及以下,8000
后端工程师,字节,"java,mysql,spring",四川,硕士,23000
NLP算法工程师,字节,"pytorch,python,ACL",陕西,博士,34000
后端工程师,字节,"java,mysql,spring",重庆,本科,17000
后端工程师,阿里,"Java,Python,MySQL",浙江,本科,25000
NLP算法工程师,阿里,"TensorFlow,Python,NLP",浙江,硕士,35000
后端工程师,阿里,"Java,Spring Boot,Docker",北京,本科,26000
NLP算法工程师,阿里,"Deep Learning,Python,pytorch",北京,硕士,36000
后端工程师,阿里,"Golang,MySQL,Kubernetes",上海,硕士,30000
NLP算法工程师,阿里,"NLP,Transformers,Python",上海,博士,40000
后端工程师,阿里,"Java,Spring Cloud,Redis",广东,本科,28000
NLP算法工程师,阿里,"AI,Machine Learning,Python",广东,博士,45000
后端工程师,阿里,"C#,SQL Server,.NET Core",四川,本科,28000
NLP算法工程师,阿里,"Deep Learning,Python,Natural Language Processing",四川,博士,42000
后端工程师,阿里,"Java,Spring Boot,MySQL",上海,本科,20000
NLP算法工程师,阿里,"Python,Pytorch,BERT",北京,硕士,30000
后端工程师,阿里,"Go,Docker,Kubernetes",广东,本科,22000
NLP算法工程师,阿里,"TensorFlow,SKlearn,ACL",湖北,硕士,28000
后端工程师,阿里,"PHP,Laravel,Redis",江苏,本科,20000
NLP算法工程师,阿里,"NLP,Deep Learning,Python",浙江,博士,35000
后端工程师,阿里,"Node.js,Express,MongoDB",福建,本科,21000
NLP算法工程师,阿里,"Text Mining,Machine Learning,Pytorch",四川,硕士,29000
后端工程师,阿里,"C++,STL,Design Pattern",湖南,本科,24000
NLP算法工程师,阿里,"Gensim,Spacy,CUDA",江西,博士,36000
后端工程师,美团,"Java,Spring Boot,MySQL",北京,本科,25000
NLP算法工程师,美团,"pytorch,python,ACL",上海,硕士,35000
后端工程师,美团,"Golang,Docker,Kubernetes",广东,高中及以下,20000
NLP算法工程师,美团,"TensorFlow,deeplearning,Keras",浙江,博士,40000
后端工程师,美团,"Java,Redis,MongoDB",江苏,本科,24000
NLP算法工程师,美团,"NLTK,Spacy,Gensim",四川,硕士,33000
后端工程师,美团,"PHP,Laravel,PostgreSQL",陕西,高中及以下,19000
NLP算法工程师,美团,"BERT,transformers,sklearn",湖北,博士,39000
后端工程师,美团,"C#,ASP.NET Core,SQL Server",福建,本科,23000
NLP算法工程师,美团,"pytorch,python,CUDA",广西,硕士,32000
后端工程师,字节,"Java,Python,Docker",北京,本科,20000
NLP算法工程师,字节,"pytorch,python,ACL",浙江,硕士,30000
后端工程师,字节,"Go,Python,Kubernetes",上海,硕士,25000
NLP算法工程师,字节,"tensorflow,python,CUDA",江苏,博士,40000
后端工程师,字节,"Go,Docker,MySQL",广东,本科,20000
NLP算法工程师,字节,"pytorch,ACL,NLTK",湖南,硕士,35000
后端工程师,字节,"Java,Kubernetes,Redis",福建,硕士,23000
NLP算法工程师,字节,"tensorflow,CUDA,NLTK",山东,博士,40000
后端工程师,字节,"Java,Docker,MySQL",浙江,本科,21000
NLP算法工程师,字节,"pytorch,python,ACL",四川,硕士,30000
后端工程师,百度,"Java,MySQL,Spring",北京,本科,15000
NLP算法工程师,百度,"Pytorch,Python,ACL",上海,硕士,25000
后端工程师,百度,"Java,MySQL,Spring Boot",广东,本科,16000
NLP算法工程师,百度,"Pytorch,Python,CUDA",浙江,博士,35000
后端工程师,百度,"Java,Redis,Spring Cloud",江苏,本科,17000
NLP算法工程师,百度,"TensorFlow,Python,NLTK",福建,硕士,28000
后端工程师,百度,"Java,MongoDB,Spring Security",湖南,本科,15500
NLP算法工程师,百度,"Keras,Python,Gensim",四川,博士,36500
后端工程师,百度,"Java,Oracle,Spring MVC",山东,本科,16500
NLP算法工程师,百度,"Theano,Python,Spacy",辽宁,硕士,29000
后端工程师,腾讯,"Java,Python,MySQL",北京,本科,15000
NLP算法工程师,腾讯,"Python,NLP,Machine Learning",上海,硕士,20000
后端工程师,腾讯,"Go,Python,Ruby",广东,博士,20000
NLP算法工程师,腾讯,"Deep Learning,Python,NLP",山东,硕士,25000
后端工程师,腾讯,"Cloud Services,AWS,Node.js",河南,本科,18000
NLP算法工程师,腾讯,"Machine Learning,Python,Speech Recognition",江苏,博士,30000
后端工程师,腾讯,"Django,Python,Oracle",浙江,本科,16000
NLP算法工程师,腾讯,"NLP,Transfer Learning,Python",福建,硕士,22000
后端工程师,腾讯,"PHP,Python,JavaScript",湖南,本科,17000
NLP算法工程师,腾讯,"Python,AI,Neural Networks",四川,博士,28000
后端工程师,小红书,"Java,Python,SpringBoot",北京,本科,18000
NLP算法工程师,小红书,"NLP, Python, Tensorflow",上海,硕士,25000
后端工程师,小红书,"C++, Node.js, MySQL",广东,本科,19000
NLP算法工程师,小红书,"NLP, Deep Learning, Pytorch",浙江,博士,30000
后端工程师,小红书,"Java, Redis, MongoDB",湖南,高中及以下,15000
NLP算法工程师,小红书,"Machine Learning, Python, Keras",湖北,硕士,27000
后端工程师,小红书,"Go, MySQL, Nginx",江苏,本科,20000
NLP算法工程师,小红书,"NLP, CNN, RNN",四川,博士,31000
后端工程师,小红书,"PHP, Apache, Laravel",福建,本科,18000
NLP算法工程师,小红书,"BERT, Python, CUDA",山东,硕士,26000
后端工程师,腾讯,"Java,MySQL,Spring",北京,本科,25000
后端工程师,腾讯,"Python,Django,Flask",上海,硕士,28000
后端工程师,腾讯,"PHP,Laravel,SQL",广东,本科,22000
后端工程师,腾讯,"Node.js,Express,MongoDB",浙江,高中及以下,20000
后端工程师,腾讯,"Go,Gin,PostgreSQL",江苏,硕士,26000
NLP算法工程师,腾讯,"BERT,python,TensorFlow",广东,硕士,35000
NLP算法工程师,腾讯,"Word2Vec,python,ACL",湖北,博士,40000
NLP算法工程师,腾讯,"RNN,python,Keras",四川,本科,30000
NLP算法工程师,腾讯,"GPT,python,Pytorch",湖南,高中及以下,25000
NLP算法工程师,腾讯,"Transformer,python,Theano",福建,博士,42000
后端工程师,小红书,"Java,MySQL,Spring",上海,本科,20000
NLP算法工程师,小红书,"Python,PyTorch,ACL",北京,硕士,30000
后端工程师,小红书,"Java,Oracle,SpringBoot",广东,本科,18000
NLP算法工程师,小红书,"Python,TensorFlow,NLP",浙江,博士,40000
后端工程师,小红书,"Python,Django,MySQL",河北,高中及以下,8000
NLP算法工程师,小红书,"C++, Deep Learning, Machine Learning",江苏,硕士,32000
后端工程师,小红书,"Java,SQL,SpringBoot",湖北,硕士,22000
NLP算法工程师,小红书,"Python, Deep Learning, Text Mining",福建,博士,42000
后端工程师,小红书,"Ruby,Rails,PostgreSQL",云南,本科,19000
NLP算法工程师,小红书,"Java,Mahout,NLP",河南,博士,45000
后端工程师,阿里,"Java,Linux,MySQL",北京,本科,20000
后端工程师,阿里,"Java,Python,Docker",浙江,硕士,23000
后端工程师,阿里,"Spring Boot,NoSQL,Redis",上海,本科,21000
NLP算法工程师,阿里,"自然语言处理,深度学习,TensorFlow",北京,硕士,28000
NLP算法工程师,阿里,"自然语言处理,Python,PyTorch",浙江,博士,35000
NLP算法工程师,阿里,"自然语言处理,机器学习,Scikit-learn",四川,硕士,28000
后端工程师,阿里,"Java,Python,Kubernetes",武汉,高中及以下,18000
后端工程师,阿里,"Linux,RabbitMQ,分布式系统",广东,本科,22000
NLP算法工程师,阿里,"自然语言处理,神经网络,机器翻译",山东,博士,34000
NLP算法工程师,阿里,"自然语言处理,知识图谱,语义理解",陕西,硕士,29000
后端工程师,字节,"Java,Spring Boot,MySQL",北京,本科,20000
后端工程师,字节,"Python,Django,PostgreSQL",上海,硕士,22000
后端工程师,字节,"C++,Redis,RabbitMQ",广东,硕士,23000
后端工程师,字节,"JavaScript,Node.js,MongoDB",浙江,本科,21000
后端工程师,字节,"Go,Rust,Cloud Native",江苏,硕士,24000
NLP算法工程师,字节,"tensorflow,python,NLP",广东,博士,28000
NLP算法工程师,字节,"pytorch,python,ACL",浙江,硕士,27000
NLP算法工程师,字节,"BERT,deep learning,transformers",江苏,博士,29000
NLP算法工程师,字节,"LSTM,NER,Semantic Analysis",上海,硕士,26000
NLP算法工程师,字节,"Dialogue Systems,Reinforcement Learning,Seq2Seq",北京,博士,30000
后端工程师,腾讯,"Java,Python,Django",北京,本科,20000
NLP算法工程师,腾讯,"NLP,Python,TensorFlow",浙江,硕士,30000
后端工程师,腾讯,"Java,Python,Django",上海,博士,25000
NLP算法工程师,腾讯,"NLP,Python,TensorFlow",广东,本科,28000
后端工程师,腾讯,"Java,Python,Django",福建,硕士,22000
NLP算法工程师,腾讯,"NLP,Python,TensorFlow",天津,博士,32000
后端工程师,腾讯,"Java,Python,Django",江苏,高中及以下,18000
NLP算法工程师,腾讯,"NLP,Python,TensorFlow",重庆,本科,28000
后端工程师,腾讯,"Java,Python,Django",湖北,博士,25000
NLP算法工程师,腾讯,"NLP,Python,TensorFlow",四川,硕士,31000
后端工程师,阿里,"Java,Python,MySQL",北京,本科,20000
后端工程师,阿里,"Java,Python,PostgreSQL",上海,硕士,25000
NLP算法工程师,阿里,"pytorch,python,ACL",广东,硕士,30000
NLP算法工程师,阿里,"tensorflow,python,keras",江苏,博士,40000
后端工程师,阿里,"C++,Python,NoSQL",深圳,高中及以下,15000
后端工程师,阿里,"C++,Python,SQLite",浙江,本科,22000
NLP算法工程师,阿里,"pytorch,python,spaCy",四川,硕士,28000
NLP算法工程师,阿里,"pytorch,python,CUDA",福建,博士,35000
后端工程师,阿里,"Go,Python,PostgreSQL",河南,硕士,24000
NLP算法工程师,阿里,"tensorflow,python,GPT",湖南,本科,26000
后端工程师,字节,"Java, Spring Boot, Docker",北京,本科,15000
后端工程师,字节,"Java, MySQL, Redis",上海,本科,16000
后端工程师,字节,"Java, NoSQL, AWS",广东,硕士,20000
后端工程师,字节,"Java, Redis, Elasticsearch",深圳,硕士,22000
后端工程师,字节,"Java, Kubernetes, Microservices",浙江,博士,25000
NLP算法工程师,字节,"pytorch,python,ACL",北京,硕士,30000
NLP算法工程师,字节,"pytorch,python,CUDA",浙江,博士,35000
NLP算法工程师,字节,"TensorFlow,Deep Learning,NLU",广东,硕士,32000
NLP算法工程师,字节,"Natural Language Processing,ML,Python",深圳,博士,40000
NLP算法工程师,字节,"Machine Learning,Deep Learning,Python",上海,博士,45000
后端工程师,美团,"Java,Spring,MySQL",北京,本科,15000
NLP算法工程师,美团,"pytorch,python,ACL",广东,博士,35000
后端工程师,美团,"MySQL,Java,Redis",浙江,硕士,18000
NLP算法工程师,美团,"tensorflow,CUDA,python",广东,本科,32000
后端工程师,美团,"Java,Spring,MySQL",江苏,高中及以下,12000
NLP算法工程师,美团,"pytorch,CUDA,python",湖北,硕士,34000
后端工程师,美团,"Redis,MySQL,Java",上海,高中及以下,11000
NLP算法工程师,美团,"pytorch,python,ACL",福建,本科,30000
后端工程师,美团,"Java,Spring,MySQL",北京,硕士,20000
NLP算法工程师,美团,"pytorch,python,ACL",安徽,博士,37000
后端工程师,百度,"Java,Spring Boot,Microservices",北京,本科,25000
NLP算法工程师,百度,"TensorFlow,Python,BERT",上海,硕士,30000
后端工程师,百度,"Node.js,Express,MongoDB",深圳,本科,26000
NLP算法工程师,百度,"GPT-3,PyTorch,Java",广东,博士,35000
后端工程师,百度,"Python,Django,REST API",江苏,高中及以下,20000
NLP算法工程师,百度,"Hugging Face,Transformer,NLU",浙江,硕士,32000
后端工程师,百度,"Golang,Echo,Redis",四川,本科,24000
NLP算法工程师,百度,"DistilBERT,Fasttext,NLTK",山东,博士,34000
后端工程师,百度,"C++,Boost,Concurrency",陕西,硕士,27000
NLP算法工程师,百度,"Text Summarization,Tokenizers,ML",湖北,本科,28000
后端工程师,百度,"Java,MySQL,Python",北京,本科,25000
NLP算法工程师,百度,"pytorch,python,ACL",上海,硕士,35000
后端工程师,百度,"Java,MySQL,Python",广东,本科,26000
NLP算法工程师,百度,"pytorch,python,CUDA",深圳,博士,45000
后端工程师,百度,"Java,MySQL,Python",江苏,硕士,30000
NLP算法工程师,百度,"tensorflow,python,ACL",浙江,博士,40000
后端工程师,百度,"Java,MySQL,Python",四川,高中及以下,18000
NLP算法工程师,百度,"pytorch,python,NLP",湖北,本科,28000
后端工程师,百度,"Java,MySQL,Python",福建,博士,35000
NLP算法工程师,百度,"tensorflow,python,CUDA",广东,硕士,36000
后端工程师,字节,"java,python,MySQL",北京,本科,16000
NLP算法工程师,字节,"pytorch,python,ACL",上海,硕士,28000
后端工程师,字节,"java,python,MongoDB",广东,硕士,20000
NLP算法工程师,字节,"tensorflow,python,CUDA",浙江,博士,35000
后端工程师,字节,"java,python,Oracle",福建,高中及以下,12000
NLP算法工程师,字节,"pytorch,python,NLTK",江苏,本科,26000
后端工程师,字节,"java,python,PostgreSQL",湖北,博士,22000
NLP算法工程师,字节,"tensorflow,python,SpaCy",湖南,硕士,32000
后端工程师,字节,"java,python,LucidDB",陕西,本科,17000
NLP算法工程师,字节,"pytorch,python,Gensim",山东,博士,36000
后端工程师,美团,"Java,MySQL,Redis",北京,本科,25000
后端工程师,美团,"Java,Oracle,SSM",上海,硕士,28000
后端工程师,美团,"Java,MySQL,Spring",广东,本科,26000
后端工程师,美团,"Java,MySQL,MyBatis",浙江,博士,30000
后端工程师,美团,"Java,PostgreSQL,Hibernate",江苏,硕士,29000
NLP算法工程师,美团,"pytorch,python,ACL",北京,硕士,32000
